int_rate,s_int_rate,dti,s_dti,loan_amnt,s_loan_amnt,installment,s_installment,annual_inc,s_annual_inc,default
18.49,1.1423483264269554,13.4,-0.25776884688233864,6300.0,-0.9524943872331112,229.32,-0.8108650865240478,30000.0,-0.9175131164150413,0
13.99,0.2111967845214683,30.61,0.5071872205292765,20000.0,0.5216452477927019,683.46,0.8631879730092894,65000.0,-0.24506682835095162,0
11.22,-0.36197872016257615,13.16,-0.26843645037907243,5000.0,-1.092376250410743,164.22,-1.0508370206756756,29000.0,-0.9367258675025868,0
13.18,0.04358950697848046,27.6,0.3733976933410742,22000.0,0.7368481142198279,502.6,0.1965009682371941,66000.0,-0.2258540772634062,1
12.59,-0.07849480629357232,11.77,-0.330219653964322,16000.0,0.09123951493844991,535.95,0.31943589917355036,1000000.0,17.718855438504015,0
7.89,-1.051030861172637,19.57,0.016477459679524502,24000.0,0.9520509806469539,485.38,0.1330245211390215,55000.0,-0.4371943392264058,1
16.55,0.7409185505832568,15.86,-0.1484259110408179,11950.0,-0.34454628957648026,294.11,-0.57203587586838,140000.0,1.195889503214955,1
19.99,1.4527321737287846,22.04,0.12626487900007582,12000.0,-0.3391662179158021,317.86,-0.4844885112585312,49000.0,-0.5524708457516784,1
7.89,-1.051030861172637,27.92,0.38762116467005253,28000.0,1.3824567135012058,876.0,1.5729298501453017,96500.0,0.36013483090672915,0
16.99,0.8319644791251263,23.42,0.18760359910629495,21075.0,0.6373167884972821,523.66,0.27413244186596936,59900.0,-0.3430518588974333,1
10.64,-0.4819938077859501,18.58,-0.027526404744502252,8000.0,-0.769571950770054,260.55,-0.6957449098181285,50000.0,-0.5332580946641329,0
5.32,-1.5828218528831044,24.98,0.2569430218350642,15000.0,-0.016361918275113095,451.73,0.00898372875496206,140000.0,1.195889503214955,0
8.38,-0.9496388043873727,25.72,0.28983479928332645,5000.0,-1.092376250410743,157.56,-1.0753871448146899,48000.0,-0.5716835968392238,0
6.24,-1.392453093204649,14.0,-0.23109983814050433,16800.0,0.1773206615093003,512.92,0.23454260203818925,62000.0,-0.3027050816135879,0
6.24,-1.392453093204649,2.04,-0.762702079061069,7000.0,-0.8771733839836171,213.72,-0.8683698818046222,100000.0,0.4273794597131381,0
17.57,0.9519795667485006,19.55,0.015588492721463378,35000.0,2.1356667459961467,880.61,1.5899232543916766,200000.0,2.3486545684676803,1
16.55,0.7409185505832568,26.5,0.3245045106477112,10000.0,-0.5543690843429281,354.3,-0.3501632074108305,65000.0,-0.24506682835095162,0
9.76,-0.66408566486969,14.8,-0.19554115981805853,10000.0,-0.5543690843429281,211.3,-0.8772904974827624,24000.0,-1.032789622940314,1
12.59,-0.07849480629357232,6.02,-0.5857976544069011,8400.0,-0.7265313774846289,281.38,-0.618961263299259,135000.0,1.0998257477772277,0
11.22,-0.36197872016257615,12.92,-0.27910405387580617,25000.0,1.0596524138605168,821.08,1.3704834811190745,108000.0,0.5810814684135015,0
16.99,0.8319644791251263,12.03,-0.31866308350952716,6075.0,-0.9767047097061629,216.57,-0.8578641980514403,75000.0,-0.05293931747549741,1
19.99,1.4527321737287846,23.58,0.19471533477078395,28075.0,1.390526820992223,1043.23,2.1893738831434075,78000.0,0.004698935787138848,0
8.38,-0.9496388043873727,8.34,-0.4826774872718083,15000.0,-0.016361918275113095,472.68,0.0862097198529129,280000.0,3.885674655471314,0
11.99,-0.20264834521430392,11.35,-0.34888796008360606,35000.0,2.1356667459961467,778.38,1.2130825350626304,129560.0,0.9953083818609807,0
9.76,-0.66408566486969,28.75,0.42451329342959,4200.0,-1.1784573969815935,135.05,-1.1583636154406982,76000.0,-0.033726566387951996,1
12.59,-0.07849480629357232,26.23,0.31250345671388574,15000.0,-0.016361918275113095,502.46,0.19598489956159904,60000.0,-0.3411305837886787,0
9.17,-0.7861699781417428,10.49,-0.38711353928023523,1800.0,-1.4367008366941447,57.39,-1.4446342822028397,86000.0,0.15840094448750222,0
7.89,-1.051030861172637,10.37,-0.3924473410286022,25000.0,1.0596524138605168,782.15,1.2269795272554358,130000.0,1.0037619923395007,0
9.17,-0.7861699781417428,21.2,0.08892826676150777,4000.0,-1.1999776836243061,127.52,-1.1861207377780525,110000.0,0.6195069705885923,1
11.99,-0.20264834521430392,24.87,0.2520537035657279,4200.0,-1.1784573969815935,139.49,-1.1419968660146886,45365.0,-0.622309195954906,0
16.55,0.7409185505832568,11.88,-0.32533033569498565,14400.0,-0.08092277820325089,354.41,-0.3497577248800059,180000.0,1.9643995467167719,1
13.67,0.14498156376374471,19.14,-0.002635329918790098,11200.0,-0.42524736448665246,258.7,-0.7025643887456327,58000.0,-0.37955608596376955,1
21.99,1.866577303464557,19.66,0.02047781099079965,25000.0,1.0596524138605168,690.34,0.8885490622099529,78000.0,0.004698935787138848,1
11.99,-0.20264834521430392,22.62,0.15204492078384912,6000.0,-0.9847748171971801,199.26,-0.9216724035839238,40000.0,-0.7253856055395871,0
11.99,-0.20264834521430392,15.87,-0.14798142756178734,35000.0,2.1356667459961467,778.38,1.2130825350626304,325000.0,4.750248454410858,0
9.76,-0.66408566486969,20.34,0.05070268756487856,35000.0,2.1356667459961467,1125.42,2.4923430577658703,184000.0,2.0412505510669536,0
15.41,0.5050268266338666,23.62,0.19649326868690636,26000.0,1.1672538470740799,624.15,0.6445591647983361,57000.0,-0.398768837051315,1
9.76,-0.66408566486969,12.41,-0.30177271130636535,5000.0,-1.092376250410743,160.78,-1.0635175652760072,48048.0,-0.5707613847870215,1
5.32,-1.5828218528831044,6.33,-0.5720186665569533,25000.0,1.0596524138605168,752.87,1.1190474499595886,97000.0,0.36974120645050185,0
6.24,-1.392453093204649,23.51,0.19160395041757008,8500.0,-0.7157712341632726,259.52,-0.6995417007885768,50000.0,-0.5332580946641329,0
7.26,-1.1813920770394053,21.85,0.11781969289849506,15000.0,-0.016361918275113095,464.95,0.05771535655042308,55000.0,-0.4371943392264058,0
10.64,-0.4819938077859501,31.87,0.5631921388871286,19650.0,0.48398474616795484,639.98,0.7029117871888165,47000.0,-0.5908963479267691,0
5.32,-1.5828218528831044,11.41,-0.3462210592094226,7500.0,-0.8233726673768356,225.87,-0.8235824931726363,51000.0,-0.5140453435765875,0
8.38,-0.9496388043873727,29.22,0.4454040169440268,6000.0,-0.9847748171971801,189.08,-0.9591979687093243,65000.0,-0.24506682835095162,0
12.59,-0.07849480629357232,11.09,-0.3604445305384009,10000.0,-0.5543690843429281,225.44,-0.8251675612476778,45000.0,-0.62932185010186,1
13.18,0.04358950697848046,32.35,0.5845273458805961,35000.0,2.1356667459961467,1182.33,2.7021249743951956,90000.0,0.23525194883768388,1
7.89,-1.051030861172637,10.35,-0.3933363079866633,13800.0,-0.1454836381313887,431.75,-0.06466664366208137,40914.0,-0.7078251510455706,0
